store,websites,attribute_set,type,sku,com_image,com_small_image,com_thumbnail,gallery
admin,base,Default,simple,ATI1133,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_coral_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1135,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_coral_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1137,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_coral_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1139,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_coral_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,AI3001,/ai/ai_vega_white.jpg,/ai/ai_vega_black.jpg,/ai/ai_vega_black.jpg,"/ai/ai_vega_white.jpg,/ai/ai_vega_color_chart.jpg,/ai/ai_vega_dimensions.jpg"
admin,base,Default,simple,AI3003,/ai/ai_vega_black.jpg,/ai/ai_vega_black.jpg,/ai/ai_vega_black.jpg,"/ai/ai_vega_black.jpg,/ai/ai_vega_color_chart.jpg,/ai/ai_vega_dimensions.jpg"
admin,base,Default,simple,AI3005,/ai/ai_vega_white.jpg,/ai/ai_vega_white.jpg,/ai/ai_vega_white.jpg,"/ai/ai_vega_white.jpg,/ai/ai_vega_blue_chart.jpg,/ai/ai_vega_dimensions.jpg"
admin,base,Default,simple,AI3007,/ai/ai_noimage.jpg,/ai/ai_noimage.jpg,/ai/ai_noimage.jpg,"/ai/ai_vega_black.jpg,/ai/ai_vega_blue_chart.jpg,/ai/ai_vega_dimensions.jpg"
admin,base,Default,simple,AI3009,/a/i/ai_new_controller_10.jpg,/a/i/ai_new_controller_10.jpg,/a/i/ai_new_controller_10.jpg,"/ai/ai_new_controller.jpg,/ai/ai_new_controller_screenshots.jpg"
admin,base,Default,simple,AI1059,/ai/ai_ext_rail_silver_6.jpg,/ai/ai_ext_rail_silver_6.jpg,/ai/ai_ext_rail_silver_6.jpg,"/ai/ai_ext_rail_silver_6.jpg,/ai/ai_ext_rails.jpg,/ai/ai_ext_rail_packaging.jpg,/ai/ai_vega_spacing.jpg,/ai/ai_sol_spacing.jpg"
admin,base,Default,simple,AI1061 ,/ai/ai_ext_rail_silver_12.jpg,/ai/ai_ext_rail_silver_12.jpg,/ai/ai_ext_rail_silver_12.jpg,"/ai/ai_ext_rail_silver_12.jpg,/ai/ai_ext_rails.jpg,/ai/ai_ext_rail_packaging.jpg,/ai/ai_vega_spacing.jpg,/ai/ai_sol_spacing.jpg"
admin,base,Default,simple,AI1063,/ai/ai_ext_rail_silver_18.jpg,,/ai/ai_ext_rail_silver_18.jpg,"/ai/ai_ext_rail_silver_18.jpg,/ai/ai_ext_rails.jpg,/ai/ai_ext_rail_packaging.jpg,/ai/ai_vega_spacing.jpg,/ai/ai_sol_spacing.jpg"
admin,base,Default,simple,AI1065 ,/ai/ai_ext_rail_black_6.jpg,/ai/ai_ext_rail_black_6.jpg,/ai/ai_ext_rail_black_6.jpg,"/ai/ai_ext_rail_black_6.jpg,/ai/ai_ext_rails.jpg,/ai/ai_ext_rail_packaging.jpg,/ai/ai_vega_spacing.jpg,/ai/ai_sol_spacing.jpg"
admin,base,Default,simple,AI1067,/ai/ai_ext_rail_black_12.jpg,/ai/ai_ext_rail_black_12.jpg,/ai/ai_ext_rail_black_12.jpg,"/ai/ai_ext_rail_black_12.jpg,/ai/ai_ext_rails.jpg,/ai/ai_ext_rail_packaging.jpg,/ai/ai_vega_spacing.jpg,/ai/ai_sol_spacing.jpg"
admin,base,Default,simple,AI1069 ,/ai/ai_ext_rail_black_18.jpg,/ai/ai_ext_rail_black_18.jpg,/ai/ai_ext_rail_black_18.jpg,"/ai/ai_ext_rail_black_18.jpg,/ai/ai_ext_rails.jpg,/ai/ai_ext_rail_packaging.jpg,/ai/ai_vega_spacing.jpg,/ai/ai_sol_spacing.jpg"
admin,base,Default,simple,AI1071 ,/ai/ai_ext_mount_kit.jpg,/ai/ai_ext_mount_kit.jpg,/ai/ai_ext_mount_kit.jpg,"/ai/ai_ext_mount_kit.jpg,/ai/ai_ext_mount_bar.jpg,/ai/ai_ext_rail_mount_join.jpg,/ai/ai_ext_mount_bar_vega.jpg"
admin,base,Default,simple,AI1073 ,/ai/ai_ext_mount_kit.jpg,/ai/ai_ext_mount_kit.jpg,/ai/ai_ext_mount_kit.jpg,"/ai/ai_ext_mount_kit.jpg,/ai/ai_ext_mount_bar.jpg,/ai/ai_ext_rail_mount_join.jpg,/ai/ai_ext_mount_bar_vega.jpg"
admin,base,Default,simple,AI1075,/a/i/ai_ext_hang_kit_10.jpg,/a/i/ai_ext_hang_kit_10.jpg,/a/i/ai_ext_hang_kit_10.jpg,"/ai/ai_ext_hang_kit.jpg,/ai/ai_ext_hang_kit_close.jpg,/ai/ai_ext_hang_kit_close2.jpg"
admin,base,Default,grouped,ATI-AQUABLUESPECIAL,/a/t/ati_bulbs_aquablue_chart_1.jpg,/a/t/ati_bulbs_aquablue_chart_1.jpg,/a/t/ati_bulbs_aquablue_chart_1.jpg,"/ati/ati_bulbs_aquablue_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,grouped,ATI-BLUEPLUS,/a/t/ati_bulbs_blue_plus_chart_11_1.jpg,/a/t/ati_bulbs_blue_plus_chart_11_1.jpg,/a/t/ati_bulbs_blue_plus_chart_11_1.jpg,"/ati/ati_bulbs_blue_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,grouped,ATI-TRUEACTINIC,/a/t/ati_bulbs_true_actinic_chart_11_1.jpg,/a/t/ati_bulbs_true_actinic_chart_11_1.jpg,/a/t/ati_bulbs_true_actinic_chart_11_1.jpg,"/ati/ati_bulbs_true_actinic_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,grouped,ATI-PURPLEPLUS,/a/t/ati_bulbs_purple_plus_chart_26_1.jpg,/a/t/ati_bulbs_purple_plus_chart_26_1.jpg,/a/t/ati_bulbs_purple_plus_chart_26_1.jpg,"/ati/ati_bulbs_purple_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,grouped,ATI-CORALPLUS,/a/t/ati_bulbs_coral_plus_chart_1.jpg,/a/t/ati_bulbs_coral_plus_chart_1.jpg,/a/t/ati_bulbs_coral_plus_chart_1.jpg,"/ati/ati_bulbs_coral_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,grouped,AI-EXTRAIL,/a/i/ai_ext_rail_packaging_45_1.jpg,/a/i/ai_ext_rail_packaging_45_1.jpg,/a/i/ai_ext_rail_packaging_45_1.jpg,"/ai/ai_ext_rail_packaging.jpg,/ai/ai_ext_rails.jpg,/ai/ai_ext_rail_silver_6.jpg,/ai/ai_ext_rail_silver_12.jpg,/ai/ai_ext_rail_silver_18.jpg,/ai/ai_ext_rail_black_6.jpg,/ai/ai_ext_rail_black_12.jpg,/ai/ai_ext_rail_black_18.jpg,/ai/ai_vega_spacing.jpg,/ai/a"
admin,base,Default,grouped,AI-EXTTANKMOUNT,/a/i/ai_ext_mount_kit_21_1.jpg,/a/i/ai_ext_mount_kit_21_1.jpg,/a/i/ai_ext_mount_kit_21_1.jpg,"/ai/ai_ext_mount_kit.jpg,/ai/ai_ext_mount_bar.jpg,/ai/ai_ext_rail_mount_join.jpg,/ai/ai_ext_mount_bar_vega.jpg"
admin,base,Default,grouped,AI-VEGACOLOR,/a/i/ai_vega_black_27_1.jpg,/a/i/ai_vega_black_27_1.jpg,/a/i/ai_vega_black_27_1.jpg,"/ai/ai_vega_black.jpg,/ai/ai_vega_white.jpg,/ai/ai_vega_color_chart.jpg,/ai/ai_vega_dimensions.jpg"
admin,base,Default,grouped,AI-VEGABLUE,/a/i/ai_vega_black_29_1.jpg,/a/i/ai_vega_black_29_1.jpg,/a/i/ai_vega_black_29_1.jpg,"/ai/ai_vega_black.jpg,/ai/ai_vega_white.jpg,/ai/ai_vega_blue_chart.jpg,/ai/ai_vega_dimensions.jpg"
admin,base,Default,grouped,ETM-ESUPGRADEKIT,/e/t/etm_vortech_mp40w_ES_driver_37_1.jpg,/e/t/etm_vortech_mp40w_ES_driver_37_1.jpg,/e/t/etm_vortech_mp40w_ES_driver_37_1.jpg,"/ecotech/etm_vortech_mp40w_ES_driver.jpg,/ecotech/etm_vortech_mp10w_ES_driver.jpg"
admin,base,Default,simple,NEP0026,/n/e/neptune_apex_lite_hero_9_1.jpg,/n/e/neptune_apex_lite_hero_9_1.jpg,/n/e/neptune_apex_lite_hero_9_1.jpg,"/neptune/neptune_apex_lite_hero.jpg,/neptune/neptune_mobile_montage.jpg,/neptune/neptune_web_interface_graph.jpg"
admin,base,Default,simple,NEP0029,/n/e/neptune_apex_jr_hero_9_1.jpg,/n/e/neptune_apex_jr_hero_9_1.jpg,/n/e/neptune_apex_jr_hero_9_1.jpg,"/neptune/neptune_apex_jr_hero.jpg,/neptune/neptune_mobile_montage.jpg,/neptune/neptune_web_interface_graph.jpg"
admin,base,Default,simple,NEP0031,/n/e/neptune_apex_hero_17_1.jpg,/n/e/neptune_apex_hero_17_1.jpg,/n/e/neptune_apex_hero_17_1.jpg,"/neptune/neptune_apex_hero.jpg,/neptune/neptune_mobile_montage.jpg,/neptune/neptune_web_interface_graph.jpg"
admin,base,Default,simple,NEP0033,/n/e/neptune_apex_hero_18_1.jpg,/n/e/neptune_apex_hero_18_1.jpg,/n/e/neptune_apex_hero_18_1.jpg,"/neptune/neptune_apex_hero.jpg,/neptune/neptune_mobile_montage.jpg,/neptune/neptune_web_interface_graph.jpg"
admin,base,Default,grouped,ATI-SUNPOWER,/a/t/ati_sunpower_4_bulb_underside_12.jpg,/a/t/ati_sunpower_4_bulb_underside_12.jpg,/a/t/ati_sunpower_4_bulb_underside_12.jpg,"/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_kit.jpg"
admin,base,Default,grouped,ATI-LEDPOWERMODULE,/a/t/ati_led_powermodule_underside_1.jpg,/a/t/ati_led_powermodule_underside_1.jpg,/a/t/ati_led_powermodule_underside_1.jpg,"/ati/ati_led_powermodule_underside.jpg,/ati/ati_led_powermodule_top.jpg,/ati/ati_led_powermodule_controller.jpg,/ati/ati_led_powermodule_controller_screen.jpg"
